entity1,entity1type,entity2,entit2type,relation
blood biomarker,test,BDNF,problem,TeCP
open-label,test,fragile X syndrome,problem,TeCP
open-label,test,FXS,problem,TeCP
open-label,test,FXS,problem,TeCP
human studies,test,fragile X syndrome,problem,TeCP
human studies,test,FXS,problem,TeCP
human studies,test,FXS,problem,TeCP
double-blind,test,FXS,problem,TeCP
placebo-controlled,test,FXS,problem,TeCP
crossover trial,test,FXS,problem,TeCP
Clinical Global Impression Scale-Improvement,test,mood-related behaviors,problem,TeCP
Visual Analog Scale,test,anxiety,problem,TeCP
L-[1-(11)C]leucine positron emission tomography,test,FXS,problem,TeCP
PET,test,FXS,problem,TeCP
double-blind,test,fragile X syndrome,problem,TeCP
placebo-controlled crossover study,test,fragile X syndrome,problem,TeCP
ABC-Social Avoidance scale,test,fragile X syndrome,problem,TeCP
ABC-Social Avoidance scale,test,social impairment,problem,TeCP
fluorescent PCR,test,fragile X mental retardation-1,problem,TeCP
fluorescent PCR,test,amelogenin,problem,TeCP
PGD,test,single gene disorders,problem,TeCP
Yale-Brown Obsessive Compulsive Scale,test,Developmental Disorders,problem,TeCP
open-label study,test,FXS,problem,TeCP
open-label study,test,FXS,problem,TeCP
double-blind,test,behavioral symptoms,problem,TeCP
crossover study,test,behavioral symptoms,problem,TeCP
crossover study,test,FXS,problem,TeCP
Behaviour Checklist-Community Edition,test,Irritability,problem,TeCP
Behaviour Checklist-Community Edition,test,behaviour,problem,TeCP
ABC-C subscales,test,Irritability,problem,TeCP
clinical global improvement scale,test,Irritability,problem,TeCP
visual analog scale,test,behaviour,problem,TeCP
placebo-controlled trial,test,FXS,problem,TeCP
double blind,test,sleep problems,problem,TeCP
placebo-controlled,test,sleep problems,problem,TeCP
crossover design,test,sleep problems,problem,TeCP
Actiwatch,test,night awakenings,problem,TeCP
sleep diaries,test,night awakenings,problem,TeCP
DNA testing,test,ASD,problem,TeCP
pilot open label,test,fragile X syndrome,problem,TeCP
pilot open label,test,fragile X,problem,TeCP
single dose trial,test,fragile X syndrome,problem,TeCP
single dose trial,test,fragile X,problem,TeCP
(1)H magnetic resonance spectroscopy,test,Disruption,problem,TeCP
pilot open-label trial,test,cognitive-behavioral function,problem,TeCP
placebo-controlled trial,treatment,fragile X syndrome,problem,TeCP
placebo-controlled trial,treatment,FXS,problem,TeCP
MSEL,test,autism spectrum disorder,problem,TeCP
outcome measures,test,FXS,problem,TeCP
study,test,hypertension,problem,TeCP
study,test,hypothyroidism,problem,TeCP
study,test,diabetes,problem,TeCP
study,test,cancer,problem,TeCP
retrospective controlled study,test,PC,problem,TeCP
retrospective controlled study,test,X-associated tremor ataxia syndrome,problem,TeCP
retrospective controlled study,test,FXTAS,problem,TeCP
neuropsychological testing,test,FXTAS,problem,TeCP
neuropsychological testing,test,FXTAS,problem,TeCP
WAIS,test,FXTAS,problem,TeCP
nonparametric repeated-measures technique,test,sleep problems,problem,TeCP
nonparametric repeated-measures technique,test,ASD,problem,TeCP
night sleep,test,ASD,problem,TeCP
night sleep,test,FXS,problem,TeCP
sleep-onset time,test,ASD,problem,TeCP
sleep-onset time,test,FXS,problem,TeCP
study,test,FXS,problem,TeCP
choline,test,fragile X,problem,TeCP
choline,test,cognitive-behavioral impairments,problem,TeCP
(1)H magnetic resonance spectroscopy,test,cognitive-behavioral impairments,problem,TeCP
choline,test,FRAX,problem,TeCP
(1)H magnetic resonance spectroscopy,test,FRAX,problem,TeCP
Right choline/creatine,test,fragile X,problem,TeCP
secondary outcome measures,test,FXS,problem,TeCP
ABC-C subscales,test,FXS,problem,TeCP
clinical global improvement scale,test,FXS,problem,TeCP
CGI,test,FXS,problem,TeCP
visual analog scale,test,FXS,problem,TeCP
VAS,test,FXS,problem,TeCP
Vineland Adaptive Behavior Scale,test,FXS,problem,TeCP
VABS,test,FXS,problem,TeCP
standardized checklist,test,Side effects,problem,TeCP
complete blood count,test,Side effects,problem,TeCP
CBC,test,Side effects,problem,TeCP
TSH,test,Side effects,problem,TeCP
attention span,test,FXS,problem,TeCP
socialization skills,test,FXS,problem,TeCP
study,test,FXS,problem,TeCP
study,test,ADHD,problem,TeCP
gene expression microarray analysis,test,fragile X syndrome,problem,TeCP
gene expression microarray analysis,test,fragile X syndrome,problem,TeCP
gene expression microarray analysis,test,fragile X syndrome,problem,TeCP
quantitative reverse transcription polymerase chain reaction,test,fragile X syndrome,problem,TeCP
quantitative reverse transcription polymerase chain reaction,test,fragile X syndrome,problem,TeCP
quantitative reverse transcription polymerase chain reaction,test,fragile X syndrome,problem,TeCP
quantitative reverse transcription polymerase chain reaction,test,fragile X,problem,TeCP
quantitative reverse transcription polymerase chain reaction,test,fragile X,problem,TeCP
auditory continuous performance tests,test,FXS,problem,TeCP
CPTs,test,FXS,problem,TeCP
CPTs,test,FXS,problem,TeCP
CPTs,test,FXS,problem,TeCP
CPTs,test,FXS,problem,TeCP
response inhibition,test,FXS,problem,TeCP
visual CPT,test,FXS,problem,TeCP
CPT,test,FXS,problem,TeCP
placebo-controlled clinical trial,test,disorder,problem,TeCP
placebo-controlled clinical trial,test,fragile X syndrome,problem,TeCP
placebo-controlled clinical trial,test,FXS,problem,TeCP
placebo,test,FXS,problem,TeCP
placebo,test,FXS,problem,TeCP
study,test,FXS,problem,TeCP
outcome measures,test,FXS,problem,TeCP
outcome measures,test,FXS,problem,TeCP
social cognition,test,fragile X,problem,TeCP
social cognition,test,impairment,problem,TeCP
IQ,test,autism,problem,TeCP
IQ,test,impairments,problem,TeCP
adaptive behavior,test,fragile X,problem,TeCP
study,test,hyperactive behaviour,problem,TeCP
study,test,FXS,problem,TeCP
Spatial performance,test,learning disabled,problem,TeCP
spatial performance,test,Fragile-X,problem,TeCP
molecular methods,test,retarded,problem,TeCP
study,test,mental retardation,problem,TeCP
study,test,fragile X syndrome,problem,TeCP
PCR-based,test,fragile X syndrome,problem,TeCP
systematic screening,test,fragile X syndrome,problem,TeCP
diagnostic scheme,test,fragile X syndrome,problem,TeCP
PCR,test,fragile X syndrome,problem,TeCP
Southern blotting,test,fragile X syndrome,problem,TeCP
systematic screening,test,fragile X syndrome,problem,TeCP
systematic screening,test,mentally retarded,problem,TeCP
Family studies,test,autism,problem,TeCP
association study,test,infantile autism,problem,TeCP
collaborative study,test,fragile X,problem,TeCP
collaborative study,test,fragile X,problem,TeCP
collaborative study,test,fragile X,problem,TeCP
DNA testing,test,fragile X,problem,TeCP
molecular test,test,fragile X syndrome,problem,TeCP
molecular test,test,causative mutation,problem,TeCP
placebo-controlled crossover study,test,Fragile X,problem,TeCP
placebo,test,Fragile X,problem,TeCP
